file_name,column_name,data_type,description
creative_summary.csv,total_spend_usd,float64,
creative_summary.csv,total_impressions,int64,
creative_summary.csv,total_clicks,int64,
creative_summary.csv,total_conversions,int64,
creative_summary.csv,total_revenue_usd,float64,
creative_summary.csv,overall_ctr,float64,Clicks / impressions
creative_summary.csv,overall_cvr,float64,Conversions / clicks
creative_summary.csv,overall_ipm,float64,"Conversions per 1,000 impressions"
creative_summary.csv,overall_roas,float64,Revenue / spend
creative_summary.csv,first_7d_ctr,float64,CTR across the first 7 active days
creative_summary.csv,last_7d_ctr,float64,CTR across the last 7 active days
creative_summary.csv,ctr_decay_pct,float64,Relative change between last_7d_ctr and first_7d_ctr
creative_summary.csv,first_7d_cvr,float64,CVR across the first 7 active days
creative_summary.csv,last_7d_cvr,float64,CVR across the last 7 active days
creative_summary.csv,cvr_decay_pct,float64,Relative change between last_7d_cvr and first_7d_cvr
creative_summary.csv,peak_rolling_ctr_5,float64,Peak 5-day rolling CTR during the early life of the creative
creative_summary.csv,width,int64,Asset width in pixels
creative_summary.csv,height,int64,Asset height in pixels
creative_summary.csv,language,object,Primary creative language
creative_summary.csv,creative_launch_date,object,Date when the creative first becomes active
creative_summary.csv,theme,object,Main creative concept/theme
creative_summary.csv,hook_type,object,Top-level hook used in the message
creative_summary.csv,cta_text,object,Call to action shown in the asset
creative_summary.csv,headline,object,Main headline text rendered in the synthetic asset
creative_summary.csv,subhead,object,Secondary line rendered in the synthetic asset
creative_summary.csv,dominant_color,object,Dominant background color family
creative_summary.csv,emotional_tone,object,Overall emotional tone
creative_summary.csv,duration_sec,int64,Video or interactive duration in seconds; 0 for static assets
creative_summary.csv,text_density,float64,"Approximate share of the visual occupied by text, from 0 to 1"
creative_summary.csv,copy_length_chars,int64,Approximate copy length in characters
creative_summary.csv,readability_score,float64,Estimated readability score from 0 to 1
creative_summary.csv,brand_visibility_score,float64,Estimated brand/logo visibility score from 0 to 1
creative_summary.csv,clutter_score,float64,Estimated clutter score from 0 to 1
creative_summary.csv,novelty_score,float64,Estimated novelty/originality score from 0 to 1
creative_summary.csv,motion_score,float64,Estimated motion intensity from 0 to 1
creative_summary.csv,faces_count,int64,Count of people/faces visible in the asset
creative_summary.csv,product_count,int64,Count of product or food elements shown
creative_summary.csv,has_price,int64,1 if a price or monetary offer is visible
creative_summary.csv,has_discount_badge,int64,1 if a sale/bonus badge is visible
creative_summary.csv,has_gameplay,int64,1 if the creative visibly shows gameplay
creative_summary.csv,has_ugc_style,int64,1 if the creative mimics a UGC / creator style layout
creative_summary.csv,asset_file,object,Relative path to the synthetic PNG asset
creative_summary.csv,peak_day_impressions,int64,
creative_summary.csv,first_7d_impressions,int64,
creative_summary.csv,first_7d_clicks,int64,
creative_summary.csv,first_7d_conversions,int64,
creative_summary.csv,last_7d_impressions,int64,
creative_summary.csv,last_7d_clicks,int64,
creative_summary.csv,last_7d_conversions,int64,
creative_summary.csv,perf_score,float64,
campaign_summary.csv,campaign_id,int64,
campaign_summary.csv,total_spend_usd,float64,
campaign_summary.csv,total_impressions,int64,
campaign_summary.csv,total_clicks,int64,
campaign_summary.csv,total_conversions,int64,
campaign_summary.csv,total_revenue_usd,float64,
campaign_summary.csv,advertiser_id,int64,
campaign_summary.csv,advertiser_name,object,
campaign_summary.csv,app_name,object,
campaign_summary.csv,vertical,object,
campaign_summary.csv,objective,object,
campaign_summary.csv,primary_theme,object,
campaign_summary.csv,target_age_segment,object,
campaign_summary.csv,target_os,object,
campaign_summary.csv,countries,object,
campaign_summary.csv,start_date,object,
campaign_summary.csv,end_date,object,
campaign_summary.csv,daily_budget_usd,int64,
campaign_summary.csv,kpi_goal,object,
campaign_summary.csv,overall_ctr,float64,Clicks / impressions
campaign_summary.csv,overall_cvr,float64,Conversions / clicks
campaign_summary.csv,overall_roas,float64,Revenue / spend
