creative_id,campaign_id,advertiser_name,app_name,vertical,format,creative_status,fatigue_day,total_days_active,total_spend_usd,total_impressions,total_clicks,total_conversions,total_revenue_usd,overall_ctr,overall_cvr,overall_ipm,overall_roas,first_7d_ctr,last_7d_ctr,ctr_decay_pct,first_7d_cvr,last_7d_cvr,cvr_decay_pct,peak_rolling_ctr_5,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file,peak_day_impressions,first_7d_impressions,first_7d_clicks,first_7d_conversions,last_7d_impressions,last_7d_clicks,last_7d_conversions,perf_score
500010,20001,VantaStyle,VantaStyle Drops,ecommerce,native,stable,,52,22753.85,8040694,29217,1552,58894.659999999996,0.003633641573724855,0.053119759044391965,0.19301816484994952,2.588338237265342,0.008476499329290886,0.0017798570521092604,-0.7900245156678192,0.05515079634022365,0.04377104377104377,-0.2063388622528407,0.008769801889219686,320,320,es,2026-01-24,fantasy,free shipping,Watch now,Limited stock,Shop bestsellers now,orange,premium,0,0.519,35,0.681,0.699,0.491,0.553,0.503,1,3,1,0,0,0,assets/creative_500010.png,277158,1392556,11804,651,1001204,1782,78,0.24876543209876542
500011,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,underperformer,,52,23264.98,6490290,25835,1197,46014.16,0.003980561731448055,0.04633249467776272,0.18442935523682302,1.977829338344585,0.010047581237350972,0.00176110231399774,-0.824723754663361,0.04719463542992955,0.04291845493562232,-0.09060734245221846,0.010922891051613171,360,640,en,2026-01-24,ugc,before/after,Start now,Flash sale live,Free shipping over $25,blue,trustworthy,8,0.606,69,0.754,0.568,0.761,0.47,0.665,1,2,0,0,0,1,assets/creative_500011.png,252918,1172521,11781,556,793821,1398,60,0.2095679012345679
500012,20002,EarnPath,EarnPath Invest,fintech,native,stable,,73,40744.96,8514775,25553,2629,252047.1,0.0030010188172911205,0.10288420146362462,0.3087574245943081,6.185969994816537,0.0065055820933958425,0.0018688442765193065,-0.7127321967981208,0.10588362535150335,0.10170807453416149,-0.03943528381730632,0.007011079640837128,320,320,es,2026-01-03,trust,last-minute deal,Book now,"Your money, clearer",Built for peace of mind,blue,excited,0,0.41,45,0.746,0.936,0.329,0.377,0.375,1,1,0,0,0,0,assets/creative_500012.png,260428,1421241,9246,979,689196,1288,131,0.3620370370370371
500013,20002,EarnPath,EarnPath Invest,fintech,banner,stable,,73,42570.83,9950237,26349,2234,216512.44,0.0026480776287037184,0.08478500132832366,0.2245172652671489,5.085934194846565,0.005635397454392725,0.0018509379603500538,-0.671551478785712,0.09040829552819184,0.08776595744680851,-0.029226721574010517,0.006077577173636781,320,480,es,2026-01-03,minimalist,save smarter,Claim reward,Secure & simple,Built for peace of mind,blue,excited,0,0.161,37,0.9,0.74,0.47,0.228,0.343,0,1,0,0,0,0,assets/creative_500013.png,299274,1642830,9258,837,812561,1504,132,0.2617283950617284
500014,20002,EarnPath,EarnPath Invest,fintech,native,stable,,60,29998.18,6342304,19819,2076,197573.29,0.0031248896300145814,0.10474796912054089,0.32732584246986585,6.586175894670943,0.006859707139012619,0.0018312867994855664,-0.7330371745652744,0.10300290603810139,0.09801031687546058,-0.04847037190187642,0.0069870613349204275,320,320,pt,2026-01-16,feature-focus,new collection,Order now,Secure & simple,Built for peace of mind,white,playful,0,0.287,16,0.99,0.98,0.192,0.05,0.546,1,1,0,0,0,0,assets/creative_500014.png,160056,902954,6194,638,741009,1357,133,0.3932098765432099
500015,20002,EarnPath,EarnPath Invest,fintech,banner,stable,,57,25779.45,6070745,16962,1607,156400.23,0.0027940557542772758,0.0947411861808749,0.2647121564157282,6.06685674054334,0.006057852686201429,0.0017546841029126947,-0.7103455310312328,0.10218823029530487,0.07993850883935434,-0.21773272119159903,0.006266153225117543,320,480,pt,2026-01-19,fantasy,free rewards,Start now,Track every euro,Built for peace of mind,blue,calm,0,0.601,47,0.861,0.794,0.128,0.278,0.38,1,2,0,0,0,1,assets/creative_500015.png,148195,777008,4707,481,741444,1301,104,0.3101851851851852
500016,20002,EarnPath,EarnPath Invest,fintech,interstitial,stable,,73,42744.79,7207488,27237,2843,275871.82,0.003778986520685154,0.10438007122664023,0.3944508821936297,6.453928537255652,0.00841515685667733,0.0018048194927258515,-0.7855275280705257,0.10889882161722877,0.09260991580916744,-0.1495783477374587,0.008775137111517367,360,640,es,2026-01-03,testimonial,earn more,Order now,Secure & simple,"Fast signup, instant card",blue,urgent,8,0.74,74,0.908,0.582,0.02,0.631,0.3,1,2,0,0,0,1,assets/creative_500016.png,209652,1169794,9844,1072,592303,1069,99,0.48580246913580244
500017,20002,EarnPath,EarnPath Invest,fintech,banner,stable,,59,29470.59,6891494,19713,1732,166432.66,0.0028604827922653637,0.08786080251610612,0.2513243137119469,5.647415270613856,0.0062253618452546965,0.0018866220678647,-0.6969457977285635,0.09144098963557339,0.06532988357050452,-0.28555143780848613,0.006569987903828642,320,480,es,2026-01-17,feature-focus,security,Try for free,Save with confidence,Built for peace of mind,purple,premium,0,0.147,42,0.903,0.734,0.276,0.397,0.0,1,2,0,0,0,0,assets/creative_500017.png,163827,960908,5982,547,819454,1546,101,0.2935185185185185
500018,20003,CloudRoute,CloudRoute Getaway,travel,rewarded_video,top_performer,,32,17985.06,2311860,21863,1286,185054.16,0.009456887527791476,0.05882083886017472,0.5562620573910184,10.289326807917238,0.013142241476061143,0.005583976004315429,-0.575112357014079,0.059350982066609735,0.059447983014861996,0.0016343613007683278,0.013902526543589344,360,640,de,2026-01-17,destination,escape,Start now,Last-minute savings,Hotels + flights in one tap,lime,adventurous,20,0.468,60,0.974,0.782,0.272,0.822,0.526,0,1,1,0,0,0,assets/creative_500018.png,98063,534612,7026,417,506091,2826,168,0.8944444444444444
500019,20003,CloudRoute,CloudRoute Getaway,travel,interstitial,stable,,42,28084.0,4435256,21964,1013,145806.05,0.004952138050204994,0.04612092515024586,0.22839718834718897,5.191783577837914,0.008488510683471983,0.0018058458299644552,-0.7872599920878198,0.04725360619626234,0.04118268215417107,-0.12847535946518873,0.009424307786630559,360,640,pt,2026-01-07,food-closeup,exclusive,Install now,Last-minute savings,Special fares today,purple,adventurous,8,0.304,51,0.919,0.817,0.164,0.405,0.629,1,2,0,0,0,1,assets/creative_500019.png,331465,1657888,14073,665,524408,947,39,0.41327160493827164
500020,20003,CloudRoute,CloudRoute Getaway,travel,native,stable,,37,21792.84,4316594,25773,1399,200379.23,0.005970679660862245,0.054281612540255306,0.32409811995290727,9.194727717911022,0.009267859288513976,0.0025628143389328645,-0.7234728906481067,0.05507712690451405,0.053180396246089674,-0.03443771970372922,0.00961513954377469,320,320,de,2026-01-12,wanderlust,last-minute deal,Install now,Fly smarter,Special fares today,lime,adventurous,0,0.131,45,0.849,0.51,0.124,0.616,0.414,0,1,1,0,0,0,assets/creative_500020.png,231715,1140177,10567,582,748396,1918,102,0.645679012345679
500021,20003,CloudRoute,CloudRoute Getaway,travel,banner,stable,,42,34960.42,7695550,31548,1453,199737.15,0.004099512055668535,0.04605680233295296,0.1888104164094834,5.713236568668226,0.007169252729821038,0.001837656200777066,-0.7436753494359044,0.04502490090456347,0.0522911051212938,0.1613819035855748,0.008430738883176296,320,480,pt,2026-01-07,wanderlust,escape,Shop now,Book your next trip,Hotels + flights in one tap,blue,calm,0,0.474,50,0.868,0.499,0.36,0.743,0.503,1,1,1,0,0,0,assets/creative_500021.png,513094,2744777,19678,886,1009438,1855,97,0.3435185185185185
500022,20003,CloudRoute,CloudRoute Getaway,travel,rewarded_video,stable,,36,19093.86,2460143,16784,915,126792.1,0.006822367642856533,0.05451620591039085,0.37192959921435464,6.640464526292745,0.011045018127493669,0.002798989589369657,-0.7465835223572601,0.05415807560137457,0.06634692246203037,0.225060560688505,0.011550525558192913,360,640,ja,2026-01-13,trust,last-minute deal,Learn more,Fly smarter,Hotels + flights in one tap,purple,premium,15,0.314,56,0.898,0.686,0.428,0.177,0.606,0,0,0,0,0,1,assets/creative_500022.png,110402,658668,7275,394,446947,1251,83,0.6885802469135802
500023,20003,CloudRoute,CloudRoute Getaway,travel,interstitial,fatigued,12,33,20600.7,3268936,22590,1258,179330.93,0.006910505436631369,0.05568835768038955,0.3848346985074042,8.705089147456153,0.012149182825127159,0.002487743867369017,-0.7952336463137405,0.05270428222293062,0.054434250764525995,0.03282406037289132,0.012262198864573432,360,640,pt,2026-01-16,discount,escape,Install now,Escape this weekend,Flexible booking options,orange,premium,0,0.05,71,0.789,0.667,0.281,0.618,0.824,0,0,1,1,0,0,assets/creative_500023.png,156956,774620,9411,496,657222,1635,89,0.7404320987654321
500024,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,stable,,30,12853.94,3024748,17830,1521,27653.42,0.005894705939139393,0.08530566461020751,0.5028518078200234,2.151357482608445,0.010181597562152696,0.0025062794846273254,-0.7538422168694102,0.08762188515709643,0.07755775577557755,-0.11485862651180123,0.010592328628749403,320,480,it,2026-02-01,urgency,exclusive,Install now,Dinner in minutes,Fresh favorites nearby,red,calm,0,0.457,79,0.895,0.598,0.253,0.554,0.455,0,3,1,1,0,0,assets/creative_500024.png,128314,725230,7384,647,725378,1818,141,0.5972222222222222
500025,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,stable,,45,23633.52,5533797,25741,2226,39876.39,0.004651598170297899,0.08647682685210364,0.4022554495584135,1.6872810313486946,0.00887445441065041,0.0018430657948099712,-0.792317847438816,0.08500749625187407,0.08364732479276564,-0.016000606053356625,0.009471516519686193,320,480,it,2026-01-17,food-closeup,2-for-1,Shop now,Hungry? We got you,Fresh favorites nearby,red,adventurous,0,0.663,52,0.817,0.729,0.28,0.404,0.611,0,2,1,1,0,0,assets/creative_500025.png,350417,1503191,13340,1134,719996,1327,111,0.37592592592592594
500026,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,stable,,34,12847.34,2986462,15669,1343,23813.46,0.00524667650216209,0.08571063884102367,0.4496959947925003,1.853571245098207,0.009594826571147042,0.002017393553393036,-0.7897415301429611,0.0925238172129824,0.07692307692307693,-0.16861323667606387,0.00980665485011223,320,480,en,2026-01-28,urgency,2-for-1,Shop now,"Fast food, fast",Free delivery over $15,blue,trustworthy,0,0.411,85,0.697,0.689,0.499,0.491,0.603,0,2,1,1,0,1,assets/creative_500026.png,115213,645452,6193,573,618620,1248,96,0.4817901234567901
500027,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,stable,,44,20635.61,4766160,22164,1556,28441.45,0.004650284505765647,0.07020393430788666,0.32646826795575473,1.3782703782442098,0.00839497563626926,0.0018269732684963872,-0.782373011232669,0.06878406314602518,0.06934001670843776,0.008082592638243957,0.008744669665284187,320,480,it,2026-01-18,food-closeup,free shipping,Learn more,Dinner in minutes,Fresh favorites nearby,yellow,urgent,0,0.59,34,0.71,0.625,0.524,0.552,0.303,0,1,0,0,0,0,assets/creative_500027.png,216610,1267663,10642,732,655182,1197,83,0.2700617283950617
500028,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,stable,,34,15527.83,3581636,22982,2041,37777.57,0.006416620784468327,0.08880863284309459,0.5698513193412172,2.4328943580654863,0.01066013630677235,0.003014111173940391,-0.7172539743206158,0.08574988672405981,0.0872681281618887,0.01770546289716446,0.010799226305609285,320,480,it,2026-01-28,combo,exclusive,Install now,"Fast food, fast",Late-night deals available,orange,playful,0,0.266,63,0.733,0.53,0.16,0.822,0.273,0,1,1,1,0,1,assets/creative_500028.png,154597,828132,8828,757,786965,2372,207,0.683641975308642
500029,20004,SnapMeal,SnapMeal Bites,food_delivery,banner,stable,,46,25811.3,6041272,24133,2058,38006.91,0.0039946885357918,0.08527742095885302,0.3406567358662215,1.4724911182311624,0.007328792991617199,0.0018216768209331348,-0.751435628893216,0.08360173645147738,0.09486780715396578,0.13475881220514196,0.007940360756634908,320,480,it,2026-01-16,combo,fast,Get offer,2-for-1 tonight,Free delivery over $15,purple,playful,0,0.527,82,0.893,0.618,0.208,0.293,0.481,1,1,1,1,0,0,assets/creative_500029.png,660821,1948752,14282,1194,705943,1286,122,0.24351851851851855
500030,20005,MoonScreen,MoonScreen TV,entertainment,rewarded_video,fatigued,14,48,25583.29,4263589,26865,2819,61647.38,0.006301029484783829,0.1049320677461381,0.6611800527677504,2.4096736580791602,0.011269491578015243,0.0022822334488497116,-0.7974856777654513,0.10685163613258498,0.09775524981897175,-0.08513099698657056,0.011652686076362356,360,640,es,2026-01-24,ugc,late-night,Watch now,Binge starts now,New hits every week,orange,trustworthy,30,0.296,50,0.875,0.303,0.119,0.811,0.619,1,1,0,0,0,1,assets/creative_500030.png,191077,837926,9443,1009,605109,1381,135,0.6953703703703704
500031,20005,MoonScreen,MoonScreen TV,entertainment,interstitial,stable,,45,23546.98,4806453,20093,1815,40405.18,0.004180421612361548,0.09032996565968247,0.3776173406876131,1.7159389441873225,0.008691926175552483,0.0018579387225050586,-0.7862454552673461,0.09264110502500596,0.08611729769858946,-0.07042022355687116,0.009000025709112411,360,640,es,2026-01-27,ugc,new collection,Claim reward,Watch what’s trending,New hits every week,blue,premium,8,0.17,61,0.667,0.612,0.46,0.4,0.71,0,1,0,0,0,1,assets/creative_500031.png,182451,966184,8398,778,724997,1347,116,0.3253086419753086
500032,20005,MoonScreen,MoonScreen TV,entertainment,interstitial,stable,,48,28028.52,5651229,28569,2436,55440.04,0.005055360524232871,0.08526724771605586,0.4310566781137342,1.9779867078247442,0.010438233112316727,0.0018522303077651392,-0.8225532723943887,0.0861748818365969,0.06983240223463687,-0.18964319130658414,0.010750979696550892,360,640,es,2026-01-24,drama,exclusive,Book now,Watch what’s trending,Start free today,purple,excited,5,0.406,43,0.869,0.619,0.511,0.859,1.0,1,2,1,0,0,0,assets/creative_500032.png,216109,1135058,11848,1021,773122,1432,100,0.47592592592592586
500033,20005,MoonScreen,MoonScreen TV,entertainment,native,stable,,57,42610.36,10888389,41202,3947,86835.8,0.0037840308607636998,0.09579632056696277,0.36249623337299947,2.0379034582200197,0.006929357223990326,0.0018047596829007576,-0.739548759782156,0.09893766285828823,0.09418457648546144,-0.04804122348872131,0.007967522542665875,320,320,es,2026-01-15,ugc,new collection,Order now,Binge starts now,Start free today,red,urgent,0,0.55,64,0.795,0.413,0.363,0.66,0.806,4,2,1,0,0,1,assets/creative_500033.png,894569,3599901,24945,2468,876571,1582,149,0.32716049382716045
500034,20005,MoonScreen,MoonScreen TV,entertainment,banner,underperformer,,56,41286.69,11512424,39048,3284,75070.83,0.003391813922072363,0.08410161852079492,0.2852570405676511,1.8182816302299845,0.006430687145132498,0.0018204329865293277,-0.7169147020459166,0.08565395275174871,0.08033106134371958,-0.06214414206261443,0.007512199804803123,320,480,it,2026-01-16,celebrity,trending,Install now,Exclusive tonight,Cancel anytime,blue,urgent,0,0.425,52,0.778,0.682,0.328,0.888,0.965,1,0,1,0,0,1,assets/creative_500034.png,632352,3534770,22731,1947,1128303,2054,165,0.19506172839506175
500035,20005,MoonScreen,MoonScreen TV,entertainment,rewarded_video,stable,,39,20757.3,3444976,21796,2234,50879.44,0.006326894585042102,0.10249587080198201,0.6484805699662349,2.4511588694097983,0.010819447191455696,0.002872644595753326,-0.7344924796137549,0.10097115109968581,0.10140405616224649,0.004287413363578185,0.01106463394376862,360,640,it,2026-02-02,wanderlust,trending,Start now,Exclusive tonight,New hits every week,lime,adventurous,6,0.115,36,0.593,0.253,0.445,0.538,0.704,3,2,0,0,0,0,assets/creative_500035.png,113679,647168,7002,707,669418,1923,195,0.6972222222222223
500036,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,fatigued,11,39,23096.04,4617831,36796,6985,38783.97,0.007968243099411824,0.1898304163496032,1.5126149051361992,1.6792476112788166,0.014894203311584506,0.0024841701479204436,-0.8332122842724801,0.18982449470949755,0.16657852987837124,-0.12246030137839337,0.01582214689940422,360,640,it,2026-01-14,competitive,free rewards,Claim reward,Level up today,No ads in first week,blue,excited,30,0.523,40,0.626,0.643,0.386,0.676,0.864,1,1,0,0,0,0,assets/creative_500036.png,192091,1059674,15783,2996,761220,1891,315,0.6990740740740741
500037,20006,NeonArena,NeonArena Quest,gaming,native,fatigued,10,45,30535.88,9293532,52248,9559,53789.46,0.005621974508722841,0.1829543714591946,1.0285648126030016,1.7615166158630438,0.01037779783178806,0.0017344332056817833,-0.832870784939646,0.18690490184553896,0.169263836646964,-0.09438524631715539,0.011926481152662753,320,320,pt,2026-01-08,gameplay,security,Watch now,Beat your rivals,Play with friends tonight,lime,calm,0,0.471,63,0.645,0.608,0.265,0.959,0.989,0,1,0,0,1,0,assets/creative_500037.png,557683,3278923,34028,6360,1072973,1861,315,0.5916666666666667
500038,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,top_performer,,36,20356.02,4066461,38418,7528,41352.09,0.009447526977388938,0.195949815190796,1.8512411652294218,2.0314427869495115,0.016316052261082552,0.0038373046202098042,-0.7648141499667394,0.20580509587601786,0.20330237358101136,-0.012160642982884218,0.01687043743872698,360,640,pt,2026-01-17,competitive,competition,Try for free,Beat your rivals,Play with friends tonight,blue,calm,6,0.099,33,0.699,0.705,0.481,0.859,0.809,0,0,0,0,0,0,assets/creative_500038.png,163170,933314,15228,3134,757563,2907,591,0.7802469135802469
500039,20006,NeonArena,NeonArena Quest,gaming,interstitial,fatigued,11,38,19874.94,4867437,34653,5645,31784.29,0.007119352546319552,0.16290075895304879,1.1597479330497755,1.599214387565447,0.014118336674050706,0.0021228379850515853,-0.8496396541560501,0.16820702402957485,0.16465422612513722,-0.021121578750557757,0.014522238030349785,360,640,fr,2026-01-15,ugc,fast,Get offer,Beat your rivals,Free rewards for new players,blue,adventurous,12,0.323,54,0.718,0.746,0.368,0.733,1.0,2,1,0,0,0,0,assets/creative_500039.png,178459,996293,14066,2366,858285,1822,300,0.65
500040,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,fatigued,11,39,20224.68,4072614,30192,5935,34330.45,0.007413420471471148,0.19657525172231055,1.4572949953027712,1.6974533095208426,0.014486414669920218,0.001942200124300808,-0.8659295506476411,0.1981838819523269,0.1925925925925926,-0.02821263416910602,0.01527590935241218,360,640,pt,2026-01-14,reward,power-up,Book now,Unlock rare gear,Free rewards for new players,blue,calm,20,0.16,29,0.882,0.603,0.413,0.469,0.719,1,1,0,0,1,0,assets/creative_500040.png,194060,912234,13215,2619,695088,1350,260,0.6895061728395063
500041,20006,NeonArena,NeonArena Quest,gaming,rewarded_video,stable,,48,37748.35,7541500,47107,8746,49693.26,0.006246370085526752,0.18566242808924363,1.1597162368229132,1.316435287900001,0.010740621371739662,0.0018234179613489958,-0.8302316134011848,0.18847915160279585,0.19285120532003325,0.02319648449209466,0.012241579632662338,360,640,it,2026-01-05,fantasy,fast,Shop now,Unlock rare gear,Play with friends tonight,blue,playful,6,0.363,29,0.705,0.285,0.457,0.514,0.95,1,2,0,0,1,0,assets/creative_500041.png,750544,3090324,33192,6256,659750,1203,232,0.5780864197530864
500042,20007,ThreadMark,ThreadMark Shop,ecommerce,banner,stable,,44,13416.15,2265668,10959,626,24986.12,0.004836984059447368,0.057122000182498404,0.27629820432649443,1.8623912225191281,0.007905813496283977,0.0020065105902783422,-0.7461980868608302,0.061149612719119444,0.055105348460291734,-0.09884386817936253,0.00811335918340293,320,480,ja,2026-01-06,discount,limited offer,Try for free,Flash sale live,Shop bestsellers now,blue,premium,0,0.05,73,0.835,0.754,0.517,0.458,0.348,1,2,1,0,0,0,assets/creative_500042.png,172689,620556,4906,300,307499,617,34,0.30401234567901236
500043,20007,ThreadMark,ThreadMark Shop,ecommerce,interstitial,stable,,43,14558.13,1743742,15036,1062,41622.38,0.008622835258885776,0.07063048683160415,0.6090350522038237,2.8590471441043595,0.012930953631452581,0.003881899119451814,-0.6997979244152819,0.07325475974614687,0.07756813417190776,0.058881831579384425,0.013384160351042968,360,640,en,2026-01-07,product-focus,free rewards,Order now,Your next favorite pick,Free shipping over $25,red,excited,12,0.27,76,0.878,0.586,0.329,0.675,0.493,3,1,1,1,0,0,assets/creative_500043.png,80049,426496,5515,404,245756,954,74,0.7777777777777778
500044,20007,ThreadMark,ThreadMark Shop,ecommerce,native,stable,,49,21663.49,3232771,23259,1378,53454.9,0.007194756448879305,0.05924588331398598,0.4262597010428515,2.467511005844395,0.009696667204798679,0.002676557908564226,-0.7239713551023332,0.05996285486866543,0.062411347517730496,0.04083349024038152,0.009866988569656811,320,320,en,2026-01-01,product-focus,free shipping,Claim reward,Flash sale live,Shop bestsellers now,purple,playful,0,0.783,49,0.781,0.53,0.531,0.97,0.48,2,3,0,0,0,1,assets/creative_500044.png,307857,1554761,15076,904,263398,705,44,0.649074074074074
